name,org,url,id,Label,citations,h_index,study_field
hanjun kim,Yonsei University,https://scholar.google.com/citations?hl=it&user=rdQ5AokAAAAJ,133,"hanjun kim - Yonsei University - ['Computer Architecture', 'Compiler', 'Parallel Programming']",963,14,"['Computer Architecture', 'Compiler', 'Parallel Programming']"
cecilia luzzi,"Docente Storia della musica, Conservatorio Rossini di Pesaro",https://scholar.google.com/citations?hl=it&user=AlmEYHoAAAAJ,134,"cecilia luzzi - Docente Storia della musica, Conservatorio Rossini di Pesaro - ['Musicology', '\xa0Early music', 'Renaissance poetry', 'Italian madrigal', 'Digital Humanities']",43,4,"['Musicology', '\xa0Early music', 'Renaissance poetry', 'Italian madrigal', 'Digital Humanities']"
abu sebastian,"Distinguished Scientist, IBM Research - Zurich",https://scholar.google.com/citations?hl=it&user=sUCQ7KMAAAAJ,135,"abu sebastian - Distinguished Scientist, IBM Research - Zurich - ['In-memory computing', 'Brain-inspired computing', 'Artificial Intelligence', 'Exploratory memory', 'Nanotechnology']",17085,59,"['In-memory computing', 'Brain-inspired computing', 'Artificial Intelligence', 'Exploratory memory', 'Nanotechnology']"
simone melloni,ARPAE,https://scholar.google.com/citations?hl=it&user=F4-_jnwAAAAJ,136,simone melloni - ARPAE - [],151,7,[]
alex mircoli,Università Politecnica delle Marche,https://scholar.google.com/citations?hl=it&user=0szuhooAAAAJ,137,"alex mircoli - Università Politecnica delle Marche - ['sentiment analysis', 'affective computing', 'data warehousing', 'business intelligence']",290,8,"['sentiment analysis', 'affective computing', 'data warehousing', 'business intelligence']"
danuta sorina chisca,Insight Centre for Data Analytics,https://scholar.google.com/citations?hl=it&user=4EwmHyYAAAAJ,138,"danuta sorina chisca - Insight Centre for Data Analytics - ['CP', 'Matching', 'Graph Theory', 'Deep Learning', 'Machine Learning']",37,4,"['CP', 'Matching', 'Graph Theory', 'Deep Learning', 'Machine Learning']"
stefano bragaglia,University of Bristol,https://scholar.google.com/citations?hl=it&user=qMEiPDIAAAAJ,139,stefano bragaglia - University of Bristol - ['Artificial Intelligence'],328,13,['Artificial Intelligence']
sergio greco,University of Calabria,https://scholar.google.com/citations?hl=it&user=hZz_nUAAAAAJ,140,"sergio greco - University of Calabria - ['Artificial Intelligence', 'Knowledge Representation', 'Argumentation', 'Databases']",3964,33,"['Artificial Intelligence', 'Knowledge Representation', 'Argumentation', 'Databases']"
gian luca marzocchi,University of Bologna,https://scholar.google.com/citations?hl=it&user=N7s6PekAAAAJ,141,"gian luca marzocchi - University of Bologna - ['Marketing', 'Consumer behavior', 'Branding', 'Service quality', 'Customer satisfaction']",1516,13,"['Marketing', 'Consumer behavior', 'Branding', 'Service quality', 'Customer satisfaction']"
nicola baldini,Alma Mater Studiorum Università di Bologna,https://scholar.google.com/citations?hl=it&user=DlghdfQAAAAJ,142,nicola baldini - Alma Mater Studiorum Università di Bologna - [],25560,86,[]
shin'ichi satoh,National Institute of Informatics,https://scholar.google.com/citations?hl=it&user=7aEF5cQAAAAJ,143,shin'ichi satoh - National Institute of Informatics - ['Multimedia Content Analysis'],10435,40,['Multimedia Content Analysis']
stefano berti,Université de Lille,https://scholar.google.com/citations?hl=it&user=l6vvdBAAAAAJ,144,"stefano berti - Université de Lille - ['Reactive transport', 'Turbulence', 'Complex fluids']",658,11,"['Reactive transport', 'Turbulence', 'Complex fluids']"
luca foschini,University of Bologna,https://scholar.google.com/citations?hl=it&user=YY8U1BEAAAAJ,145,"luca foschini - University of Bologna - ['network and service management', 'session signaling', 'IP Multimedia Subsystem (IMS)', 'context-aware systems', 'management of Cloud sys']",7252,37,"['network and service management', 'session signaling', 'IP Multimedia Subsystem (IMS)', 'context-aware systems', 'management of Cloud sys']"
geethan karunaratne,IBM Research - Zurich,https://scholar.google.com/citations?hl=it&user=CrCeq1QAAAAJ,146,"geethan karunaratne - IBM Research - Zurich - ['Efficient Hardware Architectures', 'Machine Learning']",1064,16,"['Efficient Hardware Architectures', 'Machine Learning']"
ornella irrera,University of Padova,https://scholar.google.com/citations?hl=it&user=Oa4bJMwAAAAJ,148,"ornella irrera - University of Padova - ['Scholarly Knowledge Graphs', 'Data Citation', 'Dataset Recommendation', 'Linked Open Data']",45,4,"['Scholarly Knowledge Graphs', 'Data Citation', 'Dataset Recommendation', 'Linked Open Data']"
stefano ceri,Politecnico di Milano,https://scholar.google.com/citations?hl=it&user=aiulJmIAAAAJ,149,"stefano ceri - Politecnico di Milano - ['data management', 'web management', 'search computing', 'genomic computing']",35905,84,"['data management', 'web management', 'search computing', 'genomic computing']"
giuseppe attardi,Università di Pisa,https://scholar.google.com/citations?hl=it&user=p86Ewsi7jXwJ,150,"giuseppe attardi - Università di Pisa - ['artificial intelligence', 'Deep Learning', 'programming languages', 'text analytics']",3416,32,"['artificial intelligence', 'Deep Learning', 'programming languages', 'text analytics']"
casey mclaughlin,Virginia Tech,https://scholar.google.com/citations?hl=it&user=ZSIelX8AAAAJ,151,"casey mclaughlin - Virginia Tech - ['ecotoxicology', 'physiology', 'neuroscience', 'endocrinology', 'ornithology']",40,1,"['ecotoxicology', 'physiology', 'neuroscience', 'endocrinology', 'ornithology']"
michele marchi,Università degli Studi di Ferrara,https://scholar.google.com/citations?hl=it&user=TqMG7RAAAAAJ,152,"michele marchi - Università degli Studi di Ferrara - ['benessere ambientale', 'inclusività', 'Human Centered Design']",240,8,"['benessere ambientale', 'inclusività', 'Human Centered Design']"
davide martinenghi,Politecnico di Milano,https://scholar.google.com/citations?hl=it&user=E0QQoIMAAAAJ,153,"davide martinenghi - Politecnico di Milano - ['Databases', 'Logic', 'Ranking']",1765,25,"['Databases', 'Logic', 'Ranking']"
donatella firmani,Sapienza University,https://scholar.google.com/citations?hl=it&user=aoB1hvoAAAAJ,154,"donatella firmani - Sapienza University - ['Data management', 'Algorithms']",1372,18,"['Data management', 'Algorithms']"
